location,population,people_fully_vaccinated,percent_pop_fully_vax
Saint Pierre and Miquelon,5885,0,0
Guam,171783,0,0
Puerto Rico,3252412,0,0
Vatican,808,0,0
Northern Mariana Islands,49574,0,0
United States Virgin Islands,99479,0,0
Micronesia (country),114178,0,0
North Korea,26069416,0,0
Western Sahara,576005,0,0
Marshall Islands,41593,0,0
Palau,18084,0,0
Eritrea,3684041,0,0
Burundi,12889583,23471,0.18209278
Yemen,33696612,676019,2.006192789
Haiti,11585003,236678,2.042968828
Papua New Guinea,10142625,297814,2.936261569
Democratic Republic of Congo,99010216,3720706,3.757901104
Cameroon,27914542,1286179,4.607559028
Madagascar,29611718,1722381,5.816552083
Senegal,17316452,1263032,7.293826703
Mali,22593598,2110796,9.342451787
Syria,22125242,2105113,9.51453096
Sudan,46874200,4536964,9.679021722
Gabon,2388997,257322,10.77113115
Congo,5970430,654119,10.95597805
Burkina Faso,22673764,2658480,11.72491696
Equatorial Guinea,1674916,214032,12.77867069
Gambia,2705995,357390,13.20734148
Algeria,44903228,6481186,14.43367501
Malawi,20405318,2949082,14.45251674
Togo,8848700,1451712,16.40593534
Iraq,44496124,7899315,17.75281595
Libya,6812344,1229888,18.05381525
Guinea-Bissau,2105580,404228,19.19794071
South Sudan,10913172,2101283,19.2545577
Kenya,54027484,10564568,19.55406252
Niger,26207982,5176311,19.75089498
Benin,13352864,2691413,20.15607288
Namibia,2567024,519505,20.23763705
Kyrgyzstan,6630621,1351913,20.38893491
Chad,17723312,3619014,20.41951301
Djibouti,1120851,240665,21.47163182
Guinea,13859349,2983614,21.52780769
Angola,35588996,7814121,21.95656489
Nigeria,218541216,48312871,22.1069837
Afghanistan,41128772,10458947,25.42975754
Jamaica,2827382,735360,26.00851247
Ghana,33475870,8758799,26.16451492
Bosnia and Herzegovina,3233530,846080,26.16583115
Uganda,47249588,12765601,27.01738055
Central African Republic,5579148,1616195,28.96849125
Zimbabwe,16320539,4751270,29.11221253
Ethiopia,123379928,36707357,29.75148194
Mauritania,4736146,1426547,30.12041859
Saint Vincent and the Grenadines,103959,31433,30.23595841
Bulgaria,6781955,2073613,30.57544617
Grenada,125459,38879,30.9894069
