location,date,population,people_fully_vaccinated,percent_pop_full_vax
Afghanistan,5/11/2021,41128772,55624,0.135243522
Afghanistan,5/20/2021,41128772,77560,0.188578448
Afghanistan,5/24/2021,41128772,96910,0.235625805
Afghanistan,5/26/2021,41128772,111082,0.270083435
Afghanistan,5/27/2021,41128772,113739,0.276543632
Afghanistan,5/30/2021,41128772,119926,0.291586629
Afghanistan,6/2/2021,41128772,144600,0.351578695
Afghanistan,6/3/2021,41128772,148505,0.361073265
Afghanistan,6/8/2021,41128772,158343,0.38499326
Afghanistan,6/14/2021,41128772,177266,0.431002414
Afghanistan,6/22/2021,41128772,183762,0.44679671
Afghanistan,6/27/2021,41128772,186260,0.452870317
Afghanistan,6/30/2021,41128772,187654,0.456259671
Afghanistan,7/5/2021,41128772,189322,0.460315227
Afghanistan,7/7/2021,41128772,199250,0.484454046
Afghanistan,7/11/2021,41128772,219159,0.532860548
Afghanistan,8/20/2021,41128772,430744,1.047305764
Afghanistan,11/14/2021,41128772,3188609,7.75274545
Afghanistan,12/27/2021,41128772,3753224,9.125543549
Afghanistan,1/9/2022,41128772,3809353,9.262014922
Afghanistan,1/11/2022,41128772,3814837,9.275348654
Afghanistan,1/13/2022,41128772,3823786,9.297107144
Afghanistan,1/17/2022,41128772,3832821,9.319074734
Afghanistan,1/19/2022,41128772,3836731,9.328581461
Afghanistan,1/24/2022,41128772,3851307,9.364021372
Afghanistan,1/26/2022,41128772,3866279,9.400424112
Afghanistan,1/27/2022,41128772,3868832,9.406631445
Afghanistan,1/31/2022,41128772,3892831,9.464982324
Afghanistan,2/2/2022,41128772,3912336,9.512406546
Afghanistan,2/7/2022,41128772,3959887,9.628021474
Afghanistan,2/14/2022,41128772,4043580,9.831511624
Afghanistan,2/20/2022,41128772,4125717,10.03121853
Afghanistan,2/27/2022,41128772,4231984,10.28959484
Afghanistan,3/6/2022,41128772,4281934,10.41104266
Afghanistan,3/17/2022,41128772,4402868,10.70508013
Afghanistan,3/22/2022,41128772,4420127,10.74704346
Afghanistan,4/4/2022,41128772,4532577,11.02045303
Afghanistan,4/14/2022,41128772,4595506,11.17345784
Afghanistan,4/18/2022,41128772,4603187,11.19213333
Afghanistan,4/26/2022,41128772,4636946,11.27421456
Afghanistan,4/27/2022,41128772,4637327,11.27514092
Afghanistan,5/5/2022,41128772,4668999,11.35214783
Afghanistan,5/8/2022,41128772,4670950,11.35689147
Afghanistan,5/10/2022,41128772,4676224,11.36971461
Afghanistan,5/15/2022,41128772,4710456,11.45294588
Afghanistan,5/23/2022,41128772,4758426,11.56957956
Afghanistan,6/1/2022,41128772,4807917,11.68991138
Afghanistan,6/15/2022,41128772,4923085,11.96992947
Afghanistan,6/21/2022,41128772,4979930,12.10814172
Afghanistan,6/30/2022,41128772,5064430,12.313594
Afghanistan,7/10/2022,41128772,5105618,12.413738
Afghanistan,7/17/2022,41128772,5309804,12.91019338
Afghanistan,7/19/2022,41128772,6422705,15.61608744
Afghanistan,7/27/2022,41128772,6571487,15.9778342
Afghanistan,8/7/2022,41128772,8272846,20.11449795
Afghanistan,8/15/2022,41128772,9613976,23.37530525
Afghanistan,8/22/2022,41128772,9771963,23.75943293
Afghanistan,8/31/2022,41128772,9939590,24.1669992
Afghanistan,9/4/2022,41128772,9963368,24.22481274
